sid,group,activity,item,rating,rating_norm
21,0,A2,int,10,3.75
21,0,A3,int,5,-1.25
21,0,A4,int,4,-2.25
21,0,A1,prog,10,3.75
21,0,A2,prog,10,3.75
21,0,A3,prog,1,-5.25
21,0,A4,prog,2,-4.25
21,0,A1,rule,10,3.75
21,0,A2,rule,10,3.75
21,0,A3,rule,1,-5.25
21,0,A4,rule,1,-5.25
21,0,A1,time,5,-1.25
21,0,A2,time,10,3.75
21,0,A3,time,1,-5.25
21,0,A4,time,1,-5.25
22,0,A1,comp,4,-2.0
22,0,A2,comp,4,-2.0
22,0,A3,comp,7,1.0
22,0,A4,comp,9,3.0
22,0,A1,lrn1,2,-4.0
22,0,A2,lrn1,6,0.0
22,0,A3,lrn1,8,2.0
22,0,A4,lrn1,8,2.0
22,0,A1,lrn2,2,-4.0
22,0,A2,lrn2,2,-4.0
22,0,A3,lrn2,8,2.0
22,0,A4,lrn2,2,-4.0
22,0,A1,int,7,1.0
22,0,A2,int,7,1.0
22,0,A3,int,8,2.0
22,0,A4,int,3,-3.0
22,0,A1,prog,10,4.0
22,0,A2,prog,10,4.0
22,0,A3,prog,8,2.0
22,0,A4,prog,1,-5.0
22,0,A1,rule,10,4.0
22,0,A2,rule,10,4.0
22,0,A3,rule,8,2.0
22,0,A4,rule,1,-5.0
22,0,A1,time,7,1.0
22,0,A2,time,7,1.0
22,0,A3,time,5,-1.0
22,0,A4,time,4,-2.0
23,0,A1,comp,1,-2.9642857142857144
23,0,A2,comp,8,4.035714285714286
23,0,A3,comp,4,0.03571428571428559
23,0,A4,comp,8,4.035714285714286
23,0,A1,lrn1,7,3.0357142857142856
23,0,A2,lrn1,4,0.03571428571428559
23,0,A3,lrn1,8,4.035714285714286
23,0,A4,lrn1,2,-1.9642857142857144
23,0,A1,lrn2,1,-2.9642857142857144
23,0,A2,lrn2,2,-1.9642857142857144
23,0,A3,lrn2,6,2.0357142857142856
23,0,A4,lrn2,3,-0.9642857142857144
23,0,A1,int,5,1.0357142857142856
23,0,A2,int,1,-2.9642857142857144
23,0,A3,int,1,-2.9642857142857144
23,0,A4,int,1,-2.9642857142857144
23,0,A1,prog,10,6.035714285714286
23,0,A2,prog,1,-2.9642857142857144
23,0,A3,prog,4,0.03571428571428559
23,0,A4,prog,1,-2.9642857142857144
23,0,A1,rule,10,6.035714285714286
23,0,A2,rule,3,-0.9642857142857144
23,0,A3,rule,6,2.0357142857142856
23,0,A4,rule,1,-2.9642857142857144
23,0,A1,time,10,6.035714285714286
23,0,A2,time,1,-2.9642857142857144
23,0,A3,time,1,-2.9642857142857144
23,0,A4,time,1,-2.9642857142857144
24,0,A1,comp,6,0.4285714285714288
24,0,A2,comp,6,0.4285714285714288
24,0,A3,comp,6,0.4285714285714288
24,0,A4,comp,6,0.4285714285714288
24,0,A1,lrn1,10,4.428571428571429
24,0,A2,lrn1,10,4.428571428571429
24,0,A3,lrn1,10,4.428571428571429
24,0,A4,lrn1,10,4.428571428571429
24,0,A1,lrn2,10,4.428571428571429
24,0,A2,lrn2,10,4.428571428571429
